omega,n_sites,rep,branch,NOE,pvalue,is_fg
1.5,250,0,A,-0.006500000000000006,0.48,True
1.5,250,0,B,0.031000000000000014,0.32,False
1.5,250,0,C,0.2710000000000001,0.04,False
1.5,250,0,D,-0.319,0.96,False
1.5,250,1,A,-0.061000000000000006,0.42,True
1.5,250,1,B,-0.21849999999999997,0.76,False
1.5,250,1,C,0.099,0.14,False
1.5,250,1,D,-0.04100000000000001,0.38,False
1.5,250,2,A,0.06849999999999998,0.1,True
1.5,250,2,B,-0.459,0.98,False
1.5,250,2,C,-0.018999999999999947,0.2,False
1.5,250,2,D,0.21600000000000005,0.02,False
1.5,250,3,A,0.15449999999999997,0.14,True
1.5,250,3,B,-0.14049999999999999,0.88,False
1.5,250,3,C,0.007000000000000006,0.54,False
1.5,250,3,D,-0.12050000000000001,0.86,False
1.5,250,4,A,0.01050000000000001,0.4,True
1.5,250,4,B,-0.202,0.8,False
1.5,250,4,C,-0.21200000000000002,0.88,False
1.5,250,4,D,0.47300000000000003,0.0,False
1.5,250,5,A,-0.018499999999999982,0.54,True
1.5,250,5,B,-0.07349999999999997,0.62,False
1.5,250,5,C,0.034000000000000016,0.34,False
1.5,250,5,D,0.22150000000000003,0.12,False
1.5,250,6,A,0.05950000000000007,0.12,True
1.5,250,6,B,0.11450000000000003,0.1,False
1.5,250,6,C,0.40449999999999997,0.0,False
1.5,250,6,D,-0.3655,0.94,False
1.5,250,7,A,-0.274,1.0,True
1.5,250,7,B,-0.00399999999999999,0.78,False
1.5,250,7,C,0.003499999999999979,0.94,False
1.5,250,7,D,0.39849999999999997,0.2,False
1.5,250,8,A,0.26250000000000007,0.06,True
1.5,250,8,B,-0.16499999999999998,0.86,False
1.5,250,8,C,-0.13249999999999998,0.74,False
1.5,250,8,D,0.007499999999999979,0.5,False
1.5,250,9,A,-0.06599999999999998,0.72,True
1.5,250,9,B,-0.028499999999999998,0.66,False
1.5,250,9,C,-0.036000000000000004,0.62,False
1.5,250,9,D,0.00650000000000002,0.46,False
1.5,250,10,A,-0.10999999999999996,0.72,True
1.5,250,10,B,0.2125,0.16,False
1.5,250,10,C,-0.085,0.8,False
1.5,250,10,D,0.02250000000000002,0.7,False
1.5,250,11,A,-0.19499999999999995,0.68,True
1.5,250,11,B,-0.1225,0.64,False
1.5,250,11,C,0.265,0.06,False
1.5,250,11,D,0.027500000000000052,0.18,False
1.5,250,12,A,0.0755,0.16,True
1.5,250,12,B,-0.18450000000000005,0.6,False
1.5,250,12,C,-0.14700000000000002,0.52,False
1.5,250,12,D,0.28550000000000003,0.0,False
1.5,250,13,A,-0.12599999999999997,0.92,True
1.5,250,13,B,0.036500000000000005,0.54,False
1.5,250,13,C,-0.08850000000000001,0.84,False
1.5,250,13,D,0.15400000000000005,0.18,False
1.5,250,14,A,-0.079,0.6,True
1.5,250,14,B,0.271,0.06,False
1.5,250,14,C,-0.07899999999999999,0.66,False
1.5,250,14,D,-0.04150000000000001,0.54,False
1.5,250,15,A,0.04050000000000005,0.06,True
1.5,250,15,B,0.19050000000000003,0.04,False
1.5,250,15,C,-0.08449999999999999,0.2,False
1.5,250,15,D,-0.12949999999999998,0.32,False
1.5,250,16,A,0.26399999999999996,0.14,True
1.5,250,16,B,-0.0335,0.62,False
1.5,250,16,C,-0.20850000000000002,0.98,False
1.5,250,16,D,0.28400000000000003,0.1,False
1.5,250,17,A,0.11850000000000002,0.36,True
1.5,250,17,B,-0.06899999999999998,0.82,False
1.5,250,17,C,-0.05649999999999998,0.64,False
1.5,250,17,D,-0.041499999999999954,0.74,False
1.5,250,18,A,0.21149999999999997,0.02,True
1.5,250,18,B,0.0014999999999999458,0.26,False
1.5,250,18,C,0.14900000000000002,0.1,False
1.5,250,18,D,-0.18600000000000003,0.52,False
1.5,250,19,A,0.08400000000000002,0.3,True
1.5,250,19,B,0.15900000000000003,0.06,False
1.5,250,19,C,0.039000000000000035,0.48,False
1.5,250,19,D,-0.1435,0.84,False
1.5,500,0,A,0.020250000000000032,0.2,True
1.5,500,0,B,0.10275000000000006,0.1,False
1.5,500,0,C,-0.13974999999999999,0.74,False
1.5,500,0,D,0.20275,0.0,False
1.5,500,1,A,-0.14575,0.74,True
1.5,500,1,B,0.06675,0.16,False
1.5,500,1,C,-0.003249999999999975,0.4,False
1.5,500,1,D,0.03175000000000002,0.32,False
1.5,500,2,A,0.1485,0.1,True
1.5,500,2,B,0.006000000000000026,0.56,False
1.5,500,2,C,-0.1765,0.94,False
1.5,500,2,D,-0.07774999999999999,0.68,False
1.5,500,3,A,0.06575000000000003,0.3,True
1.5,500,3,B,-0.05799999999999998,0.56,False
1.5,500,3,C,-0.11049999999999999,0.78,False
1.5,500,3,D,0.19575000000000004,0.08,False
1.5,500,4,A,0.12150000000000005,0.06,True
1.5,500,4,B,-0.1135,0.46,False
1.5,500,4,C,0.01025000000000003,0.1,False
1.5,500,4,D,0.18650000000000003,0.02,False
1.5,500,5,A,0.11825000000000002,0.16,True
1.5,500,5,B,-0.007999999999999965,0.46,False
1.5,500,5,C,-0.08049999999999997,0.64,False
1.5,500,5,D,0.0020000000000000295,0.44,False
1.5,500,6,A,-0.03449999999999996,0.62,True
1.5,500,6,B,-0.027000000000000003,0.68,False
1.5,500,6,C,0.07175000000000001,0.34,False
1.5,500,6,D,-0.08574999999999999,0.82,False
1.5,500,7,A,-0.05024999999999997,0.88,True
1.5,500,7,B,0.10475000000000001,0.46,False
1.5,500,7,C,0.028500000000000053,0.66,False
1.5,500,7,D,-0.10400000000000001,0.96,False
1.5,500,8,A,0.25425,0.0,True
1.5,500,8,B,-0.17825,0.8,False
1.5,500,8,C,-0.04325,0.36,False
1.5,500,8,D,0.11300000000000004,0.02,False
1.5,500,9,A,0.14025000000000004,0.08,True
1.5,500,9,B,-0.14099999999999996,0.8,False
1.5,500,9,C,0.00899999999999998,0.34,False
1.5,500,9,D,0.022750000000000038,0.3,False
1.5,500,10,A,0.028999999999999995,0.46,True
1.5,500,10,B,-0.12974999999999998,0.88,False
1.5,500,10,C,0.06649999999999996,0.3,False
1.5,500,10,D,-0.10349999999999998,0.88,False
1.5,500,11,A,0.23175000000000004,0.06,True
1.5,500,11,B,-0.30824999999999997,1.0,False
1.5,500,11,C,-0.07324999999999995,0.76,False
1.5,500,11,D,0.14550000000000002,0.16,False
1.5,500,12,A,-0.0985,0.64,True
1.5,500,12,B,-0.07849999999999999,0.64,False
1.5,500,12,C,0.11650000000000002,0.06,False
1.5,500,12,D,0.026500000000000017,0.34,False
1.5,500,13,A,0.09050000000000004,0.14,True
1.5,500,13,B,0.16425,0.1,False
1.5,500,13,C,-0.312,1.0,False
1.5,500,13,D,0.05050000000000002,0.24,False
1.5,500,14,A,-0.108,0.8,True
1.5,500,14,B,0.13075,0.08,False
1.5,500,14,C,0.17450000000000002,0.04,False
1.5,500,14,D,-0.11799999999999997,0.82,False
1.5,500,15,A,0.11350000000000003,0.28,True
1.5,500,15,B,-0.099,0.82,False
1.5,500,15,C,-0.0014999999999999666,0.5,False
1.5,500,15,D,-0.16649999999999998,0.86,False
1.5,500,16,A,0.36800000000000005,0.0,True
1.5,500,16,B,-0.222,0.94,False
1.5,500,16,C,0.02425000000000002,0.16,False
