omega,n_sites,n_taxa,rep,branch,NOE,pvalue,ICEnorm,is_fg
1.25,1000,8,19,H,0.05347222222222221,0.42,0.14747841963914335,False
1.25,3000,8,0,A,0.017870370370370363,0.14,0.07798760552309794,True
1.25,3000,8,0,B,-0.002754629629629645,0.2,0.09426410819405974,False
1.25,3000,8,0,C,0.005787037037037025,0.26,0.08537932035113303,False
1.25,3000,8,0,D,-0.02462962962962965,0.46,0.08373091883854687,False
1.25,3000,8,0,E,-0.015046296296296308,0.38,0.09012474565182743,False
1.25,3000,8,0,F,-0.010671296296296304,0.44,0.08624573183809194,False
1.25,3000,8,0,G,0.04266203703703703,0.02,0.07925407374219012,False
1.25,3000,8,0,H,-0.03462962962962965,0.6,0.07362045712856535,False
1.25,3000,8,1,A,0.11324074074074073,0.0,0.08021122262446095,True
1.25,3000,8,1,B,-0.1413425925925926,0.98,0.06860601895433584,False
1.25,3000,8,1,C,-0.028217592592592624,0.68,0.08835339763585623,False
1.25,3000,8,1,D,0.00907407407407405,0.2,0.08456437684149189,False
1.25,3000,8,1,E,-0.00988425925925929,0.38,0.07615320685252318,False
1.25,3000,8,1,F,0.007199074074074057,0.3,0.08516712394077268,False
1.25,3000,8,1,G,0.01824074074074072,0.24,0.07227619214485652,False
1.25,3000,8,1,H,0.014907407407407394,0.28,0.07747246346942858,False
1.25,3000,8,2,A,-0.021412037037037045,0.48,0.0848028608347697,True
1.25,3000,8,2,B,0.08879629629629626,0.02,0.08261760541361529,False
1.25,3000,8,2,C,0.07483796296296294,0.02,0.07935591010193882,False
1.25,3000,8,2,D,-0.04516203703703705,0.64,0.07972732352371516,False
1.25,3000,8,2,E,-0.06828703703703705,0.66,0.08395987461441025,False
1.25,3000,8,2,F,0.022129629629629614,0.14,0.0831913914607078,False
1.25,3000,8,2,G,-0.026828703703703723,0.58,0.08096461831395414,False
1.25,3000,8,2,H,-0.004328703703703731,0.2,0.07968121848477286,False
1.25,3000,8,3,A,0.013124999999999977,0.48,0.0779682068593616,True
1.25,3000,8,3,B,-0.06041666666666668,0.98,0.07587440381525899,False
1.25,3000,8,3,C,0.021041666666666646,0.4,0.07687942248646157,False
1.25,3000,8,3,D,-0.08354166666666668,0.96,0.0741158013258498,False
1.25,3000,8,3,E,0.09124999999999997,0.06,0.08531848467454455,False
1.25,3000,8,3,F,-0.058958333333333356,0.96,0.07703019940497603,False
1.25,3000,8,3,G,0.02145833333333332,0.38,0.07376902610827231,False
1.25,3000,8,3,H,-0.03083333333333336,0.92,0.08051896918210111,False
1.25,3000,8,4,A,0.06891203703703702,0.02,0.08343952210704053,True
1.25,3000,8,4,B,-0.0700462962962963,0.8,0.08008586195226026,False
1.25,3000,8,4,C,0.005787037037037023,0.24,0.08406324498907522,False
1.25,3000,8,4,D,-0.031712962962962984,0.58,0.08749047077250478,False
1.25,3000,8,4,E,-0.032962962962962986,0.44,0.08272061266664511,False
1.25,3000,8,4,F,0.015370370370370368,0.08,0.08667663265744707,False
1.25,3000,8,4,G,-0.04212962962962964,0.5,0.08786624800071362,False
1.25,3000,8,4,H,0.023495370370370337,0.14,0.08907289500259133,False
1.25,3000,8,5,A,0.08733796296296295,0.0,0.08258531306152751,True
1.25,3000,8,5,B,-0.06807870370370374,0.82,0.07585801784743727,False
1.25,3000,8,5,C,-0.0053703703703703864,0.26,0.07878962494063112,False
1.25,3000,8,5,D,-0.046203703703703726,0.54,0.08649997447806025,False
1.25,3000,8,5,E,-0.03453703703703705,0.46,0.0851126150223317,False
1.25,3000,8,5,F,0.03254629629629629,0.2,0.08723904109683461,False
1.25,3000,8,5,G,-0.009328703703703735,0.34,0.09226269935748556,False
1.25,3000,8,5,H,-0.020370370370370393,0.4,0.08248159763791318,False
1.25,3000,8,6,A,0.059791666666666646,0.24,0.0862575169186182,True
1.25,3000,8,6,B,0.0006249999999999901,0.7,0.08041375477147668,False
1.25,3000,8,6,C,-0.046041666666666675,0.94,0.07725371837486843,False
1.25,3000,8,6,D,-0.024166666666666684,0.88,0.08144867947699308,False
1.25,3000,8,6,E,0.0010416666666666421,0.7,0.07228999520725168,False
1.25,3000,8,6,F,-0.036875,0.9,0.08144281753128904,False
1.25,3000,8,6,G,0.038958333333333324,0.44,0.07890584743171017,False
1.25,3000,8,6,H,0.019791666666666666,0.64,0.08136924087619458,False
1.25,3000,8,7,A,0.019722222222222217,0.54,0.07869170660195818,True
1.25,3000,8,7,B,0.005555555555555539,0.66,0.0795141281197544,False
1.25,3000,8,7,C,0.025347222222222215,0.62,0.08304919408727547,False
1.25,3000,8,7,D,0.019513888888888886,0.42,0.08438151234838277,False
1.25,3000,8,7,E,-0.04590277777777779,0.94,0.07601813083538984,False
1.25,3000,8,7,F,0.005972222222222195,0.74,0.08718359041659543,False
1.25,3000,8,7,G,-0.004652777777777797,0.68,0.0835343896597677,False
1.25,3000,8,7,H,0.01180555555555552,0.72,0.08188530377891813,False
1.25,3000,8,8,A,0.08314814814814812,0.0,0.08968551570170284,True
1.25,3000,8,8,B,-0.06560185185185188,0.74,0.08213685169089895,False
1.25,3000,8,8,C,-0.13351851851851854,0.96,0.08057292809692647,False
1.25,3000,8,8,D,0.037731481481481456,0.04,0.08561157877953676,False
1.25,3000,8,8,E,-0.034143518518518545,0.34,0.09056408777875977,False
1.25,3000,8,8,F,0.018564814814814777,0.1,0.07840552857972179,False
1.25,3000,8,8,G,-0.026851851851851884,0.24,0.08621371699610987,False
1.25,3000,8,8,H,0.03543981481481479,0.04,0.08130317717442347,False
1.25,3000,8,9,A,-0.01858796296296298,0.74,0.08553083808012532,True
1.25,3000,8,9,B,0.03745370370370369,0.42,0.07949205519955506,False
1.25,3000,8,9,C,0.09537037037037038,0.06,0.08844477572019044,False
1.25,3000,8,9,D,-0.0862962962962963,0.98,0.08433126756200537,False
1.25,3000,8,9,E,0.009953703703703687,0.58,0.07998719247616758,False
1.25,3000,8,9,F,-0.04567129629629632,0.86,0.08411316572624694,False
1.25,3000,8,9,G,-0.021087962962962975,0.82,0.08336241133628348,False
1.25,3000,8,9,H,0.029120370370370366,0.3,0.08453585807055874,False
1.25,3000,8,10,A,0.030532407407407383,0.36,0.08018442337761461,True
1.25,3000,8,10,B,-0.03405092592592593,0.74,0.0817486413557538,False
1.25,3000,8,10,C,-0.007592592592592625,0.5,0.07858146825833122,False
1.25,3000,8,10,D,0.03199074074074072,0.32,0.08563341339719485,False
1.25,3000,8,10,E,-0.012592592592592634,0.56,0.0904241809094298,False
1.25,3000,8,10,F,-0.11488425925925928,0.98,0.07663708976136756,False
1.25,3000,8,10,G,0.010115740740740703,0.52,0.08348099700186408,False
1.25,3000,8,10,H,0.018657407407407386,0.44,0.08102002644099368,False
1.25,3000,8,11,A,-0.010509259259259295,0.68,0.07903714767946714,True
1.25,3000,8,11,B,-0.03446759259259261,0.68,0.08693632125899185,False
1.25,3000,8,11,C,-0.017384259259259266,0.68,0.08535558766725204,False
1.25,3000,8,11,D,0.09240740740740738,0.08,0.07915628316137122,False
1.25,3000,8,11,E,-0.029050925925925945,0.8,0.08519928048642585,False
1.25,3000,8,11,F,-0.00571759259259259,0.58,0.07981517734299381,False
1.25,3000,8,11,G,-0.04467592592592594,0.76,0.08350425501303037,False
1.25,3000,8,11,H,-0.013842592592592615,0.78,0.08500292498800129,False
1.25,3000,8,12,A,0.06324074074074074,0.06,0.0850553244769502,True
1.25,3000,8,12,B,0.035324074074074036,0.14,0.08221960889031775,False
1.25,3000,8,12,C,-0.11571759259259261,1.0,0.0736775410712046,False
1.25,3000,8,12,D,0.06136574074074069,0.14,0.07291477804726387,False
1.25,3000,8,12,E,-0.029884259259259294,0.66,0.07635987103170128,False
1.25,3000,8,12,F,-0.038217592592592615,0.74,0.08792206651643979,False
1.25,3000,8,12,G,-0.007592592592592609,0.38,0.08186068249876272,False
1.25,3000,8,12,H,0.03615740740740738,0.18,0.08233700956871576,False
1.25,3000,8,13,A,0.09620370370370368,0.02,0.08782428761761656,True
1.25,3000,8,13,B,-0.051504629629629636,0.84,0.0787553139605406,False
1.25,3000,8,13,C,-0.04067129629629633,0.84,0.0805129064409336,False
1.25,3000,8,13,D,-0.013171296296296313,0.54,0.08136789747418202,False
1.25,3000,8,13,E,-0.004212962962962981,0.46,0.08091203319600991,False
1.25,3000,8,13,F,0.024328703703703682,0.14,0.0844344370999259,False
