regime,omega,rep,branch,NOE,pvalue,is_fg
long,1.0,13,B,-0.049333333333333285,0.84,False
long,1.0,13,C,-0.003999999999999972,0.74,False
long,1.0,13,D,0.058666666666666714,0.16,False
long,1.0,14,A,-0.04366666666666663,0.78,False
long,1.0,14,B,0.008000000000000042,0.36,False
long,1.0,14,C,-0.055333333333333304,0.82,False
long,1.0,14,D,-0.0043333333333332915,0.58,False
long,1.0,15,A,-0.04166666666666663,0.64,False
long,1.0,15,B,-0.03166666666666663,0.8,False
long,1.0,15,C,-0.05033333333333329,0.82,False
long,1.0,15,D,0.01933333333333338,0.38,False
long,1.0,16,A,-0.027333333333333303,0.92,False
long,1.0,16,B,-0.03366666666666663,0.9,False
long,1.0,16,C,0.03933333333333336,0.64,False
long,1.0,16,D,0.05766666666666673,0.38,False
long,1.0,17,A,-0.060533333333333286,1.0,False
long,1.0,17,B,0.01846666666666672,0.54,False
long,1.0,17,C,0.009800000000000047,0.6,False
long,1.0,17,D,0.013133333333333387,0.7,False
long,1.0,18,A,-0.060066666666666636,0.72,False
long,1.0,18,B,0.05593333333333338,0.08,False
long,1.0,18,C,-0.044066666666666615,0.72,False
long,1.0,18,D,-0.040399999999999964,0.56,False
long,1.0,19,A,0.013200000000000045,0.3,False
long,1.0,19,B,0.0012000000000000465,0.34,False
long,1.0,19,C,-0.0711333333333333,0.84,False
long,1.0,19,D,0.03786666666666671,0.2,False
long,3.0,0,A,0.027200000000000037,0.06,True
long,3.0,0,B,-0.029466666666666606,0.42,False
long,3.0,0,C,0.05420000000000005,0.02,False
long,3.0,0,D,-0.06879999999999994,0.64,False
long,3.0,1,A,-0.02213333333333329,0.42,True
long,3.0,1,B,-0.013466666666666635,0.28,False
long,3.0,1,C,-0.04379999999999995,0.34,False
long,3.0,1,D,-0.05079999999999996,0.48,False
long,3.0,2,A,0.09740000000000004,0.0,True
long,3.0,2,B,-0.06659999999999996,0.68,False
long,3.0,2,C,-0.08326666666666663,0.88,False
long,3.0,2,D,0.07540000000000004,0.04,False
long,3.0,3,A,0.13800000000000004,0.0,True
long,3.0,3,B,-0.006333333333333302,0.14,False
long,3.0,3,C,-0.10199999999999995,0.54,False
long,3.0,3,D,-0.06066666666666665,0.4,False
long,3.0,4,A,0.15900000000000006,0.0,True
long,3.0,4,B,-0.14966666666666661,0.96,False
long,3.0,4,C,-0.03866666666666663,0.4,False
long,3.0,4,D,0.062333333333333366,0.0,False
long,3.0,5,A,0.09220000000000003,0.0,True
long,3.0,5,B,-0.0551333333333333,0.5,False
long,3.0,5,C,-0.015799999999999967,0.26,False
long,3.0,5,D,-0.03879999999999995,0.32,False
long,3.0,6,A,0.19946666666666668,0.0,True
long,3.0,6,B,0.014466666666666704,0.3,False
long,3.0,6,C,-0.02586666666666662,0.6,False
long,3.0,6,D,-0.13519999999999996,0.98,False
long,3.0,7,A,0.19320000000000007,0.0,True
long,3.0,7,B,-0.08546666666666662,0.96,False
long,3.0,7,C,-0.00946666666666663,0.64,False
long,3.0,7,D,-0.11013333333333328,1.0,False
long,3.0,8,A,0.10646666666666674,0.0,True
long,3.0,8,B,-0.09686666666666664,0.72,False
long,3.0,8,C,0.05080000000000005,0.02,False
long,3.0,8,D,-0.054533333333333295,0.38,False
long,3.0,9,A,0.028533333333333372,0.24,True
long,3.0,9,B,-0.02546666666666663,0.76,False
long,3.0,9,C,-0.03146666666666663,0.56,False
long,3.0,9,D,0.00920000000000003,0.54,False
long,3.0,10,A,0.0100666666666667,0.08,True
long,3.0,10,B,-0.016266666666666624,0.4,False
long,3.0,10,C,-0.008599999999999948,0.2,False
long,3.0,10,D,0.016400000000000057,0.24,False
long,3.0,11,A,0.13400000000000006,0.0,True
long,3.0,11,B,0.014000000000000052,0.26,False
long,3.0,11,C,-0.0743333333333333,0.7,False
long,3.0,11,D,-0.0326666666666666,0.34,False
long,3.0,12,A,0.10980000000000005,0.02,True
long,3.0,12,B,0.08013333333333339,0.04,False
long,3.0,12,C,-0.0708666666666666,0.8,False
long,3.0,12,D,-0.08986666666666662,0.9,False
long,3.0,13,A,0.12106666666666673,0.0,True
long,3.0,13,B,-0.06926666666666662,0.5,False
long,3.0,13,C,0.023733333333333384,0.04,False
long,3.0,13,D,-0.12326666666666661,0.86,False
long,3.0,14,A,0.1333333333333334,0.02,True
long,3.0,14,B,0.016666666666666736,0.28,False
long,3.0,14,C,-0.033333333333333284,0.54,False
long,3.0,14,D,-0.05633333333333329,0.76,False
long,3.0,15,A,0.11053333333333337,0.02,True
long,3.0,15,B,-0.04713333333333329,0.82,False
long,3.0,15,C,0.02620000000000005,0.28,False
long,3.0,15,D,-0.11779999999999997,0.96,False
long,3.0,16,A,0.052866666666666715,0.08,True
long,3.0,16,B,0.07753333333333338,0.08,False
long,3.0,16,C,-0.11779999999999996,0.92,False
long,3.0,16,D,-0.04279999999999995,0.52,False
long,3.0,17,A,0.05040000000000006,0.06,True
long,3.0,17,B,0.041733333333333386,0.08,False
long,3.0,17,C,-0.06326666666666661,0.56,False
long,3.0,17,D,-0.013933333333333275,0.3,False
long,3.0,18,A,0.06573333333333338,0.0,True
long,3.0,18,B,-0.02793333333333327,0.28,False
long,3.0,18,C,0.008733333333333385,0.14,False
long,3.0,18,D,0.04140000000000003,0.02,False
long,3.0,19,A,0.046533333333333385,0.04,True
long,3.0,19,B,-0.006466666666666614,0.24,False
long,3.0,19,C,0.0008666666666667117,0.22,False
long,3.0,19,D,-0.0684666666666666,0.6,False
